name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom
196538101,-0.31561,42.62839,FR,RTE,Polygon,Subestación de Biescas,ES,220000,Acciona,,Manually corrected (tie-line). In ES,BIESCAS,POINT (-0.31561 42.62839),False,220.0
196207063,-1.9685,43.2598,FR,RTE,Polygon,Subestación Eléctrica de Hernani,ES,400000;220000;132000,,,Manually corrected (tie-line). In ES,HERNANI,POINT (-1.9685 43.2598),False,400.0
31110032,-1.84251,43.30508,FR,RTE,Polygon,Arkale,ES,220000,,,Manually corrected (tie-line). In ES,ARKALE,POINT (-1.84251 43.30508),False,220.0
178294745,2.2822,41.9572,FR,RTE,Polygon,Subestació de Vic,ES,400000;132000,"Red Eléctrica de España, S.A.",,Manually corrected (tie-line). In ES,VICH,POINT (2.2822 41.9572),False,400.0
203815422,22.624,48.4164,HU,MAVIR,Polygon,Мукачеве-400,UA,400000;220000;110000;35000,Укренерго,,Manually corrected (tie-line). In UA,"Mukachevo, Mukacevo",POINT (22.624 48.4164),False,400.0
89109496,19.71343,46.03984,HU,MAVIR,Polygon,Subotica 3,RS,400000;110000,EMS,,Manually corrected (tie-line). In RS,Subotica,POINT (19.71343 46.03984),False,400.0
142155240,24.2489,49.3865,HU,MAVIR,Polygon,Західноукраїнська-750,UA,750000;330000;15750;6000,Укренерго,,Manually corrected (tie-line). In UA,Zahidno Ukrainska,POINT (24.2489 49.3865),False,750.0
236110936,19.6126,45.01639,HR,HOPS,Polygon,Сремска Митровица 2 ,RS,400000;220000;110000,EMS,,Manually corrected (tie-line). In RS,S. Mitrovica,POINT (19.6126 45.01639),False,400.0
89827347,17.7697,43.3028,HR,HOPS,Polygon,TS Mostar ,BA,400000;220000;110000,,,Manually corrected (tie-line). In BA,Mostar,POINT (17.7697 43.3028),False,400.0
79818891,16.71872,44.94099,HR,HOPS,Polygon,TS Prijedor,BA,220000;110000,,,Manually corrected (tie-line). In BA,Prijedor,POINT (16.71872 44.94099),False,220.0
222962996,18.96601,44.68652,HR,HOPS,Polygon,TS Ugljevik,BA,400000,Elektroprijenos BiH/Електропренос БиХ,,Manually corrected (tie-line). In BA,Ugljevik,POINT (18.96601 44.68652),False,400.0
