nuts3,hh_mwh,cts_mwh,ind_mwh,total_mwh,total_gwh,population
DE40B,183366.89476171572,169682.79813770702,259997.83585616396,613047.5287555867,613.0475287555867,112450.0
DE21G,182688.54324352246,169055.06986713977,259035.99415126257,610779.6072619248,610.7796072619248,112034.0
DEB22,182352.62878980147,168744.2236562339,258559.6975377777,609656.5499838131,609.6565499838131,111828.0
DEB3H,180229.51899007033,166779.55488633353,255549.31797099495,602558.3918473988,602.5583918473989,110526.0
DE119,179666.94381272228,166258.9629311756,254751.63674938199,600677.5434932798,600.6775434932798,110181.0
DEG0F,178752.14765477303,165412.43514322315,253454.53771945482,597619.120517451,597.6191205174509,109620.0
DEG03,178600.49695479276,165272.10165965883,253239.51060754177,597112.1092219934,597.1121092219934,109527.0
DEA18,178554.83867952978,165229.85071837064,253174.77126201952,596959.46065992,596.95946065992,109499.0
DEG0I,178194.46443548947,164896.37007463182,252663.79285629067,595754.627366412,595.7546273664119,109278.0
DE214,176901.35685393293,163699.763058863,250830.28210632235,591431.4020191183,591.4314020191183,108485.0
DE252,176658.38960342566,163474.92769272233,250485.77630336487,590619.0935995128,590.6190935995128,108336.0
DE725,174897.28470042266,161845.2485287497,247988.6872617939,584731.2204909662,584.7312204909663,107256.0
DEG09,171663.70042018784,158852.9765082333,243403.75432713164,573920.4312555528,573.9204312555528,105273.0
DEB3F,171163.090044982,158389.72511625217,242693.93364587025,572246.7488071044,572.2467488071044,104966.0
DE407,170685.30880740864,157947.59919491515,242016.48263736998,570649.3906396938,570.6493906396938,104673.0
DE246,170086.85927092453,157393.8100716022,241167.93478713243,568648.6041296591,568.6486041296591,104306.0
DEC02,169582.98759034407,156927.54075524336,240453.48986690518,566964.0182124926,566.9640182124925,103997.0
DE215,169436.22884842724,156791.73415824564,240245.39911344092,566473.3621201138,566.4733621201138,103907.0
DE234,168883.4375872061,156280.19597622092,239461.5906087256,564625.2241721526,564.6252241721526,103568.0
DE265,168130.0760453661,155583.05544496595,238393.3914076091,562106.5228979412,562.1065228979412,103106.0
DEB19,167189.18944441076,154712.38426199165,237059.29846595495,558960.8721723574,558.9608721723574,102529.0
DEG06,165225.8836081,152895.59378659993,234275.5066084999,552396.9840031998,552.3969840031998,101325.0
DEG0L,164881.8158909389,152577.20276474973,233787.64939760038,551246.668053289,551.246668053289,101114.0
DE912,164824.74304686018,152524.3890881395,233706.7252156976,551055.8573506973,551.0558573506972,101079.0
DE737,164231.18546844056,151975.12685139317,232865.11372390887,549071.4260437426,549.0714260437426,100715.0
DE402,162554.8745052122,150423.91372124144,230488.25489545058,543467.0431219043,543.4670431219042,99687.0
DE40D,161613.98790425685,149553.24253826714,229154.16195379643,540321.3923963204,540.3213923963203,99110.0
DE22B,161118.26948711547,149094.51803285265,228451.2776309839,538664.065150952,538.664065150952,98806.0
DE25A,161028.58358927735,149011.52511246514,228324.11105942237,538364.2197611649,538.3642197611648,98751.0
DEB32,160651.90281835684,148662.95484683765,227790.01145886414,537104.8691240586,537.1048691240586,98520.0
DE21F,160270.33008937284,148309.85769464358,227248.9754998571,535829.1632838736,535.8291632838735,98286.0
DE94A,159640.8981518182,147727.39828974227,226356.49737944378,533724.7938210042,533.7247938210043,97900.0
DEB23,158466.82821648353,146640.9455137605,224691.77135172978,529799.5450819738,529.7995450819737,97180.0
DE71B,158173.31073264882,146369.33231976506,224275.58984480132,528818.2328972152,528.8182328972151,97000.0
DE804,157847.1801950558,146067.53988199236,223813.16594821407,527727.8860252623,527.7278860252623,96800.0
DEB3K,157315.58741877932,145575.61820842282,223059.4149967769,525950.620623979,525.950620623979,96474.0
DE249,157242.20804782142,145507.71490992396,222955.36962004477,525705.2925777901,525.7052925777901,96429.0
DEG02,156560.59522425148,144876.96871497898,221988.90367617746,523426.4676154079,523.4264676154079,96011.0
DE237,155039.1962663801,143469.1069927693,219831.69619859813,518339.99945774756,518.3399994577476,95078.0
DE21I,154347.79952668224,142829.30702469117,218851.35753783322,516028.4640892066,516.0284640892066,94654.0
DE277,154218.97796433343,142710.09901177094,218668.70009868126,515597.77707478567,515.5977770747857,94575.0
DE22C,153450.94054830103,141999.37782081618,217579.69182221833,513030.0101913356,513.0300101913356,94104.0
DE25C,152208.3832000719,140849.54863290218,215817.85677622107,508875.78860919515,508.8757886091951,93342.0
DE93A,151864.3154829108,140531.15761105195,215329.99956532154,507725.4726592843,507.7254726592843,93131.0
DEG0M,150580.99181748217,139343.60436841633,213510.36153225083,503434.95771814935,503.43495771814935,92344.0
DEE06,149519.4369176171,138361.26998346616,212005.17174885946,499885.8786499427,499.8858786499427,91693.0
DE917,149204.72094883976,138070.0402810155,211558.93268865277,498833.693918508,498.833693918508,91500.0
DE268,145627.06895144284,134759.37723864886,206486.14254309097,486872.58873318264,486.8725887331826,89306.0
DE94G,145517.81522134988,134658.27677199498,206331.23053773426,486507.32253107906,486.50732253107907,89239.0
DEC06,144951.9787386252,134134.66689245933,205528.9250771554,484615.57070824,484.61557070824,88892.0
DE21D,142494.58513786193,131860.66087384196,202044.56101637075,476399.80702807463,476.39980702807463,87385.0
DE247,141212.89212512108,130674.61659339519,200227.23510278296,472114.7438212992,472.1147438212992,86599.0
DEG0J,140536.1712596146,130048.3972850168,199267.70551736446,469852.2740619959,469.8522740619959,86184.0
DEE04,140503.55820585522,130018.21804123955,199221.46312770576,469743.2393748006,469.74323937480057,86164.0
DEF01,140141.55330912708,129683.22843531183,198708.17260249393,468532.9543469328,468.5329543469328,85942.0
DEG07,139184.36018129153,128797.46763044893,197350.95846601046,465332.7862777509,465.3327862777509,85355.0
DE267,137922.23500080657,127629.53089626854,195561.3779862179,461113.143883293,461.11314388329305,84581.0
DEG0K,135264.27111942234,125169.92252842094,191792.6232290321,452226.81687687535,452.2268168768754,82951.0
DEE01,135212.0902334081,125121.6357383773,191718.63540557813,452052.3613773635,452.0523613773635,82919.0
DEG0G,133920.61330453935,123926.53768479738,189887.43677509276,447734.5877644295,447.73458776442953,82127.0
DEB39,133879.8469873398,123888.81363007576,189829.63378801933,447598.29440543486,447.59829440543484,82102.0
