line_id,bus0,bus1,r,x,s_nom,length,carrier,num_parallel,b,g,v_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,cables,terrain_factor,v_ang_min,v_ang_max,type,geom,topo
33191,35608,14292,0.777362238,6.9775884999999995,3580.0,55.509716077771515,AC,1.0,0.00011189203953824231,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33192,36027,35132,1.516326746,4.370346486,520.0,14.544682511409754,AC,1.0,6.701045243501249e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33193,15325,36814,0.07785058859999999,0.6987848120000001,3580.0,5.546748142555917,AC,1.0,1.093431114704705e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33194,11804,11806,1.162176928,3.349619284,520.0,10.634840877029038,AC,1.0,4.398882685462453e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33195,1592,17890,0.2722316884,2.443544742,3580.0,19.419958463213312,AC,1.0,1.6986046116608555e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33196,2992,11232,0.051974253000000005,0.466519578,3580.0,3.701454765826644,AC,1.0,7.0105558699883e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33197,17891,38869,0.3957463222,3.5522154519999996,3580.0,28.23435751683377,AC,1.0,1.1031480880736805e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33198,17896,38869,0.0883447864,0.652921206,925.0,5.74036991827995,AC,1.0,2.4879975487412794e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33199,17896,17903,0.2766636854,2.483324776,3580.0,19.722977300573874,AC,1.0,1.473014138725983e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33200,1818,1815,0.18079746400000002,1.622829292,1790.0,6.449035392829099,AC,1.0,4.220150115314515e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33201,12268,12053,3.5736331179999996,10.29994108,1040.0,65.75133966401754,AC,1.0,8.5262411242337e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33202,38467,8147,0.298616142,0.8606705800000001,1040.0,5.466767924906739,AC,1.0,9.007805225457166e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
